step,distance,error
1036,32.1698,0.0125323
1037,32.1851,0.0125316
1038,32.2003,0.0126244
1039,32.2143,0.0126899
1040,32.2304,0.0127348
1041,32.2453,0.01278
1042,32.2609,0.0127331
1043,32.2764,0.0128341
1044,32.2911,0.0129245
1045,32.3068,0.0129882
1046,32.3222,0.0130781
1047,32.3376,0.0131173
1048,32.352,0.0131214
1049,32.3679,0.0132614
1050,32.3829,0.0132479
1051,32.3984,0.0132826
1052,32.4147,0.0133275
1053,32.4293,0.0132271
1054,32.4438,0.0132198
1055,32.4588,0.0132205
1056,32.4749,0.013175
1057,32.4906,0.0131484
1058,32.5063,0.013153
1059,32.5218,0.0131977
1060,32.5378,0.0131879
1061,32.5531,0.0131483
1062,32.5693,0.0131938
1063,32.5839,0.0131816
1064,32.5984,0.0132111
1065,32.6133,0.0132362
1066,32.628,0.0133251
1067,32.6421,0.0133532
1068,32.6587,0.0134029
1069,32.6747,0.0133808
1070,32.6897,0.0133391
1071,32.7051,0.0133193
1072,32.7213,0.0132427
1073,32.7371,0.0132664
1074,32.7518,0.013306
1075,32.7673,0.0132987
1076,32.7831,0.0133176
1077,32.7978,0.0132753
1078,32.8134,0.0133234
1079,32.829,0.0133188
