step,x,y,z
1240,-38,6,20
1241,-38,6,21
1242,-39,6,21
1243,-38,6,21
1244,-38,7,21
1245,-38,7,22
1246,-38,7,23
1247,-38,7,22
1248,-38,8,22
1249,-38,8,21
1250,-39,8,21
1251,-40,8,21
1252,-41,8,21
1253,-42,8,21
1254,-42,8,20
1255,-42,7,20
1256,-42,6,20
1257,-43,6,20
1258,-42,6,20
1259,-42,6,21
1260,-42,5,21
1261,-42,6,21
1262,-42,7,21
1263,-42,6,21
1264,-42,6,22
1265,-42,5,22
1266,-42,6,22
1267,-42,5,22
1268,-42,5,23
1269,-41,5,23
1270,-42,5,23
1271,-42,4,23
1272,-43,4,23
1273,-44,4,23
1274,-45,4,23
1275,-45,3,23
1276,-45,3,22
1277,-45,4,22
1278,-44,4,22
1279,-44,4,21
1280,-44,3,21
1281,-43,3,21
1282,-44,3,21
1283,-45,3,21
1284,-44,3,21
1285,-44,3,22
1286,-44,4,22
1287,-45,4,22
1288,-44,4,22
1289,-45,4,22
1290,-45,4,21
1291,-44,4,21
1292,-44,3,21
1293,-43,3,21
1294,-43,4,21
1295,-44,4,21
1296,-44,4,22
1297,-44,3,22
1298,-44,4,22
1299,-45,4,22
1300,-45,3,22
1301,-45,4,22
1302,-45,4,21
1303,-46,4,21
1304,-46,5,21
1305,-46,4,21
1306,-47,4,21
1307,-47,3,21
1308,-47,3,20
1309,-47,4,20
1310,-47,4,21
1311,-47,4,20
1312,-48,4,20
1313,-48,5,20
1314,-48,5,21
1315,-48,6,21
1316,-49,6,21
1317,-49,7,21
1318,-48,7,21
1319,-47,7,21
1320,-46,7,21
1321,-46,7,20
1322,-46,8,20
1323,-46,8,19
1324,-47,8,19
1325,-46,8,19
1326,-45,8,19
1327,-46,8,19
1328,-46,7,19
1329,-47,7,19
1330,-47,6,19
1331,-47,5,19
1332,-47,5,20
1333,-47,5,19
1334,-48,5,19
1335,-48,5,20
1336,-48,5,21
1337,-47,5,21
1338,-47,5,22
1339,-47,4,22
1340,-46,4,22
1341,-46,3,22
1342,-47,3,22
1343,-46,3,22
1344,-47,3,22
1345,-47,3,23
1346,-47,4,23
1347,-47,4,22
1348,-47,4,23
1349,-46,4,23
1350,-45,4,23
1351,-45,4,22
1352,-44,4,22
1353,-45,4,22
1354,-45,3,22
1355,-45,2,22
1356,-46,2,22
1357,-46,2,21
1358,-46,3,21
1359,-46,3,22
1360,-47,3,22
1361,-47,2,22
1362,-47,2,23
1363,-46,2,23
1364,-46,2,24
1365,-45,2,24
1366,-46,2,24
1367,-46,2,23
1368,-45,2,23
1369,-45,2,22
1370,-45,2,21
1371,-46,2,21
1372,-46,2,22
1373,-46,1,22
1374,-45,1,22
1375,-46,1,22
1376,-46,0,22
1377,-46,-1,22
1378,-47,-1,22
1379,-48,-1,22
1380,-48,-2,22
1381,-48,-2,21
1382,-48,-2,22
1383,-48,-3,22
1384,-48,-3,23
1385,-49,-3,23
1386,-50,-3,23
1387,-50,-3,22
1388,-50,-3,21
1389,-49,-3,21
1390,-48,-3,21
1391,-49,-3,21
1392,-49,-3,22
1393,-49,-3,21
1394,-49,-2,21
1395,-49,-2,20
