generation,path_1
1755,115.626
1756,115.626
1757,115.626
1758,115.626
1759,115.626
1760,115.626
1761,115.626
1762,115.626
1763,115.626
1764,115.626
1765,115.626
1766,115.626
1767,115.626
1768,115.626
1769,115.626
1770,115.626
1771,115.626
1772,115.626
1773,115.626
1774,115.923
1775,115.923
1776,115.923
1777,115.923
1778,115.923
1779,115.923
1780,115.923
1781,115.923
1782,115.923
1783,115.923
1784,115.923
1785,115.923
1786,115.923
1787,115.923
1788,115.923
1789,115.923
1790,115.923
1791,115.574
1792,115.574
1793,115.574
1794,115.574
1795,115.574
1796,115.574
1797,115.574
1798,115.574
1799,115.574
1800,115.574
1801,115.574
1802,115.574
1803,115.574
1804,115.574
1805,114.224
1806,114.224
1807,114.224
1808,114.224
1809,114.224
1810,114.224
1811,114.224
1812,114.224
1813,114.224
1814,114.224
1815,114.224
1816,114.224
1817,114.224
1818,114.224
1819,114.224
1820,114.224
1821,114.224
1822,114.224
1823,114.224
1824,114.224
1825,114.224
1826,114.224
1827,114.224
1828,114.224
1829,114.224
1830,114.224
1831,114.224
1832,114.224
1833,114.224
1834,114.224
1835,114.224
1836,114.224
1837,114.224
1838,114.224
1839,114.224
1840,114.224
1841,114.224
1842,114.224
1843,114.224
1844,114.224
1845,114.083
1846,114.083
1847,114.083
1848,114.083
1849,114.083
1850,114.147
1851,114.147
1852,114.147
1853,114.147
1854,114.147
1855,114.147
1856,114.147
1857,114.147
1858,114.147
1859,114.147
1860,114.147
1861,113.601
1862,113.601
1863,113.601
1864,113.601
1865,113.406
1866,113.406
1867,113.406
1868,113.406
1869,113.406
1870,113.406
1871,113.406
1872,113.406
1873,113.406
1874,113.406
1875,113.406
1876,113.406
1877,113.406
1878,113.406
1879,113.406
1880,113.406
1881,113.406
1882,113.406
1883,113.406
1884,113.406
1885,113.406
1886,113.406
1887,113.406
1888,113.406
1889,113.406
1890,113.406
1891,113.406
1892,113.406
1893,113.406
1894,113.406
1895,113.406
1896,113.406
1897,113.406
1898,113.406
1899,113.406
1900,113.406
1901,113.406
1902,113.406
1903,113.406
1904,113.406
1905,113.406
1906,113.406
1907,113.406
1908,113.406
1909,113.406
1910,113.406
1911,113.406
1912,113.406
1913,113.406
1914,113.406
1915,113.406
1916,113.406
1917,113.406
1918,113.406
1919,113.406
1920,113.406
1921,113.406
1922,113.406
1923,113.406
1924,110.637
1925,110.637
1926,110.637
1927,110.637
1928,110.637
1929,110.637
1930,110.637
1931,110.637
1932,110.637
1933,110.637
1934,110.637
1935,110.637
1936,110.637
1937,110.637
1938,110.637
1939,110.637
1940,110.637
1941,110.637
1942,110.637
1943,110.637
1944,110.637
1945,110.637
1946,110.637
1947,110.637
1948,110.637
1949,110.637
1950,110.637
1951,110.637
1952,110.637
1953,110.637
1954,110.637
1955,110.637
1956,110.637
1957,110.637
1958,110.637
1959,110.637
1960,110.637
1961,110.637
1962,110.637
1963,110.637
1964,110.637
1965,110.637
1966,110.637
1967,110.637
1968,110.637
1969,110.637
1970,110.637
1971,110.637
1972,110.637
1973,110.637
1974,110.637
1975,110.637
