blocks,extractions,radius,error
468,9360000,4.99728,0.00609797
469,9380000,4.99712,0.006087
470,9400000,4.99725,0.00607543
471,9420000,4.9973,0.00606271
472,9440000,4.99766,0.00606032
473,9460000,4.99777,0.00604858
474,9480000,4.99778,0.00603581
475,9500000,4.99758,0.00602629
476,9520000,4.99743,0.00601566
477,9540000,4.99734,0.00600366
478,9560000,4.99741,0.00599147
479,9580000,4.99735,0.0059792
480,9600000,4.99718,0.00596927
481,9620000,4.99729,0.00595782
482,9640000,4.99706,0.00594983
483,9660000,4.99731,0.00594298
484,9680000,4.99758,0.00593648
485,9700000,4.9974,0.00592669
486,9720000,4.9973,0.00591533
487,9740000,4.99726,0.0059033
488,9760000,4.99706,0.00589476
489,9780000,4.99699,0.00588307
490,9800000,4.99687,0.00587226
491,9820000,4.99648,0.00587346
492,9840000,4.99634,0.00586319
493,9860000,4.9964,0.0058516
494,9880000,4.99638,0.00583979
495,9900000,4.99649,0.00582905
496,9920000,4.99658,0.00581797
497,9940000,4.99633,0.00581137
498,9960000,4.99651,0.00580232
499,9980000,4.99653,0.00579071
500,10000000,4.99658,0.00577935
